They,they,78.37,78.56
break,break,78.56,78.84
up,up,78.84,78.99000000000001
eventually,eventually,78.99,79.53
and,and,79.53,79.72
kind,kind,79.73,80.01
of,of,80.01,80.21000000000001
have,have,80.24,80.46
a,a,80.46000000000001,80.55000000000001
fall,fall,80.55,80.92999999999999
out,out,80.929999,81.219999
falling,falling,81.25,81.63
out,out,81.63,81.85
where,where,82.67,82.87
she,she,82.87,83.05000000000001
believes,believes,83.05,83.35
that,that,83.349999,83.459999
he,he,83.46000000000001,83.54
doesn’t,doesn't,83.53999999999999,83.82
really,really,83.82,84.02999999999999
care,care,84.03,84.27
about,about,84.27,84.55
her,her,84.55,84.99
or,or,85.009999,85.519999
care,care,85.59,85.84
about,about,85.84,86.08
putting,putting,86.08,86.39
effort,effort,86.41,86.72
into,into,86.719999,86.949999
the,the,86.95,87.07000000000001
relationship,relationship,87.07,87.91
Kind,kind,89.95,90.14999999999999
of,of,90.14999999999999,90.17
the,the,90.34,90.48
biggest,biggest,90.49,90.86
scandal,scandal,90.859999,91.339999
that,that,91.34,91.48
happens,happens,91.49,91.89
in,in,91.89,91.97
the,the,91.97,92.1
show,show,92.1,92.63
is,is,92.68,92.92
when,when,92.92,93.23
Lyla,<unk>,93.23,93.9
who,who,94.3,94.67999999999999
is,is,94.7,95.12
Jason’s,jason's,95.12,95.66000000000001
girlfriend,girlfriend,95.66,96.32
stops,stops,96.63,97.13
Tim,tim,97.13,97.47999999999999
as,as,97.49,97.69
he’s,he's,97.7,97.98
walking,walking,97.98,98.4
home,home,98.4,98.67
from,from,98.67,98.89
practice,practice,98.889999,99.459999
from,from,99.48,99.67
football,football,99.67,99.97
practice,practice,99.969999,100.239999
And,and,102.65,102.68
she,she,102.69,102.89
is,is,102.889999,102.969999
screaming,screaming,102.969999,103.349999
at,at,103.349999,103.47999899999999
him,him,103.48,103.76
because,because,103.759999,104.069999
he,he,104.07,104.14999999999999
doesn’t,doesn't,104.15,104.45
go,go,104.45,104.64
to,to,104.639999,104.739999
visit,visit,104.74,105.03999999999999
Jason,jason,105.03999999999999,105.63
in,in,105.639999,105.779999
the,the,105.78,105.87
hospital,hospital,105.87,106.68
who,who,106.75,107.05
is,is,107.049999,107.399999
you,you,107.459999,107.649999
know,know,107.65,107.83000000000001
supposed,supposed,107.83,108.23
to,to,108.23,108.31
be,be,108.32,108.46
his,his,108.459999,108.639999
best,best,108.639999,108.889999
friend,friend,108.889999,109.249999
Oddly,oddly,110.329999,110.829999
they,they,110.829999,111.00999900000001
end,end,111.019999,111.189999
of,of,111.189999,111.28999900000001
crying,crying,111.28999900000001,111.64999900000001
together,together,111.64999900000001,111.869999
and,and,112.16,112.19
then,then,112.19,112.49
start,start,112.5,112.9
kissing,kissing,112.94,113.67999999999999
And,and,113.85,114.19
in,in,114.19,114.33
later,later,114.33,114.62
scenes,scenes,114.62,115.10000000000001
it,it,115.11,115.26
turns,turns,115.26,115.63000000000001
out,out,115.63,115.86999999999999
that,that,115.87,116.05000000000001
Tim,tim,116.059999,116.23999900000001
and,and,116.24,116.27
Lyla,<unk>,116.48,116.68
make,make,116.73,116.96000000000001
out,out,116.96000000000001,117.23
so,so,117.23,117.39
they’re,they're,117.389999,117.599999
both,both,117.63,117.92999999999999
just,just,117.929999,118.259999
cheating,cheating,118.28999999999999,118.71
Jason,jason,118.71000000000001,119.23
